TFRecords files already exist. Proceed with the execution
Preparing dataset hapt...
rnn input shape:  (None, 250, 6)
rnn output shape: (None, 12)
All relevant data from this run is stored in /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T09-35-51-252733_he_normal
Tensorboard output will be stored in: /Users/Pankai/PycharmProjects/dl-lab-21w-team20/human_activity_recognition/logs/20220201-093552
Training will be from scratch since no valid checkpoint was specified.
All checkpoints will be stored in: /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T09-35-51-252733_he_normal/ckpts

======== Starting Training ========
Step 20, Loss: 1.3089144229888916, Accuracy: 61.25%, Test Loss: 0.8194631338119507, Validation Accuracy: 76.09%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T09-35-51-252733_he_normal/ckpts.
Step 40, Loss: 0.7289448380470276, Accuracy: 77.97%, Test Loss: 0.6488584876060486, Validation Accuracy: 77.15%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T09-35-51-252733_he_normal/ckpts.
Step 60, Loss: 0.646963357925415, Accuracy: 81.25%, Test Loss: 0.5661214590072632, Validation Accuracy: 84.91%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T09-35-51-252733_he_normal/ckpts.
Step 80, Loss: 0.539638340473175, Accuracy: 83.12%, Test Loss: 0.509691596031189, Validation Accuracy: 83.21%
Step 100, Loss: 0.37797871232032776, Accuracy: 87.50%, Test Loss: 0.33851760625839233, Validation Accuracy: 88.31%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T09-35-51-252733_he_normal/ckpts.
Step 120, Loss: 0.3595401346683502, Accuracy: 89.38%, Test Loss: 0.45734044909477234, Validation Accuracy: 83.95%
Step 140, Loss: 0.3126752972602844, Accuracy: 89.53%, Test Loss: 0.5469256639480591, Validation Accuracy: 87.14%
Step 160, Loss: 0.37991318106651306, Accuracy: 89.38%, Test Loss: 0.48967382311820984, Validation Accuracy: 83.95%
Step 180, Loss: 0.3567952811717987, Accuracy: 88.12%, Test Loss: 0.5264037251472473, Validation Accuracy: 81.72%
Step 200, Loss: 0.3173614740371704, Accuracy: 90.47%, Test Loss: 0.6717193722724915, Validation Accuracy: 78.85%
Step 220, Loss: 0.3846787214279175, Accuracy: 87.81%, Test Loss: 0.4178413152694702, Validation Accuracy: 87.67%
Step 240, Loss: 0.3291831910610199, Accuracy: 91.91%, Test Loss: 0.38675063848495483, Validation Accuracy: 86.18%
Step 260, Loss: 0.2548762261867523, Accuracy: 93.12%, Test Loss: 0.3098244071006775, Validation Accuracy: 90.44%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T09-35-51-252733_he_normal/ckpts.
Step 280, Loss: 0.1919741928577423, Accuracy: 93.75%, Test Loss: 0.38644853234291077, Validation Accuracy: 84.91%
Step 300, Loss: 0.2888163924217224, Accuracy: 90.00%, Test Loss: 0.2960255444049835, Validation Accuracy: 90.22%
Step 320, Loss: 0.2119719684123993, Accuracy: 92.97%, Test Loss: 0.4738880693912506, Validation Accuracy: 90.33%
Step 340, Loss: 0.20504304766654968, Accuracy: 92.34%, Test Loss: 0.4867643415927887, Validation Accuracy: 88.42%
Step 360, Loss: 0.20281124114990234, Accuracy: 93.12%, Test Loss: 0.27799680829048157, Validation Accuracy: 89.59%
Step 380, Loss: 0.12130417674779892, Accuracy: 96.25%, Test Loss: 0.5306461453437805, Validation Accuracy: 87.35%
Step 400, Loss: 0.214830681681633, Accuracy: 93.12%, Test Loss: 0.22662253677845, Validation Accuracy: 89.27%
Step 420, Loss: 0.1471748650074005, Accuracy: 94.38%, Test Loss: 0.30701500177383423, Validation Accuracy: 88.31%
