TFRecords files already exist. Proceed with the execution
Preparing dataset hapt...
rnn input shape:  (None, 250, 6)
rnn output shape: (None, 12)
All relevant data from this run is stored in /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T10-11-02-833599_lecun_normal
Tensorboard output will be stored in: /Users/Pankai/PycharmProjects/dl-lab-21w-team20/human_activity_recognition/logs/20220201-101103
Training will be from scratch since no valid checkpoint was specified.
All checkpoints will be stored in: /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T10-11-02-833599_lecun_normal/ckpts

======== Starting Training ========
Step 20, Loss: 1.374081015586853, Accuracy: 56.72%, Test Loss: 0.9874041080474854, Validation Accuracy: 63.55%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T10-11-02-833599_lecun_normal/ckpts.
Step 40, Loss: 0.7730433940887451, Accuracy: 76.09%, Test Loss: 0.6223678588867188, Validation Accuracy: 79.91%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T10-11-02-833599_lecun_normal/ckpts.
Step 60, Loss: 0.6879448294639587, Accuracy: 80.62%, Test Loss: 0.8035798668861389, Validation Accuracy: 80.98%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T10-11-02-833599_lecun_normal/ckpts.
Step 80, Loss: 0.44782525300979614, Accuracy: 87.34%, Test Loss: 0.3368270695209503, Validation Accuracy: 87.35%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T10-11-02-833599_lecun_normal/ckpts.
Step 100, Loss: 0.3803277909755707, Accuracy: 88.28%, Test Loss: 0.3200894594192505, Validation Accuracy: 89.80%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T10-11-02-833599_lecun_normal/ckpts.
Step 120, Loss: 0.3628098964691162, Accuracy: 88.59%, Test Loss: 0.3243679702281952, Validation Accuracy: 87.14%
Step 140, Loss: 0.2616646885871887, Accuracy: 91.88%, Test Loss: 0.403516560792923, Validation Accuracy: 87.89%
Step 160, Loss: 0.34270238876342773, Accuracy: 90.47%, Test Loss: 0.6655260920524597, Validation Accuracy: 80.45%
Step 180, Loss: 0.2789752185344696, Accuracy: 90.47%, Test Loss: 0.3250492513179779, Validation Accuracy: 91.18%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T10-11-02-833599_lecun_normal/ckpts.
Step 200, Loss: 0.24266135692596436, Accuracy: 93.12%, Test Loss: 0.38717660307884216, Validation Accuracy: 88.20%
Step 220, Loss: 0.253317266702652, Accuracy: 93.59%, Test Loss: 0.2341255098581314, Validation Accuracy: 90.75%
Step 240, Loss: 0.23542924225330353, Accuracy: 92.88%, Test Loss: 0.3431687653064728, Validation Accuracy: 87.89%
Step 260, Loss: 0.221552774310112, Accuracy: 93.91%, Test Loss: 0.37469229102134705, Validation Accuracy: 87.04%
