Creating tf-record files...

training samples:    7146
validation samples:  941
test samples:        1947

Created TFRecords files at: /Users/Pankai/PycharmProjects/dl-lab-21w-team20/human_activity_recognition/data_tfrecords/
Preparing dataset hapt...
rnn input shape:  (None, 250, 6)
rnn output shape: (None, 12)
All relevant data from this run is stored in /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T12-45-42-505955_fc_20
Tensorboard output will be stored in: /Users/Pankai/PycharmProjects/dl-lab-21w-team20/human_activity_recognition/logs/20220201-124557
Training will be from scratch since no valid checkpoint was specified.
All checkpoints will be stored in: /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T12-45-42-505955_fc_20/ckpts

======== Starting Training ========
Step 20, Loss: 1.48232102394104, Accuracy: 51.09%, Test Loss: 1.9739665985107422, Validation Accuracy: 50.90%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T12-45-42-505955_fc_20/ckpts.
Step 40, Loss: 1.033865213394165, Accuracy: 65.94%, Test Loss: 1.3123493194580078, Validation Accuracy: 54.52%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T12-45-42-505955_fc_20/ckpts.
Step 60, Loss: 0.7027433514595032, Accuracy: 78.75%, Test Loss: 0.5387998819351196, Validation Accuracy: 83.00%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T12-45-42-505955_fc_20/ckpts.
Step 80, Loss: 0.5101197361946106, Accuracy: 85.47%, Test Loss: 0.732273519039154, Validation Accuracy: 76.51%
Step 100, Loss: 0.47896504402160645, Accuracy: 84.69%, Test Loss: 0.4270530343055725, Validation Accuracy: 79.06%
Step 120, Loss: 0.48552829027175903, Accuracy: 85.00%, Test Loss: 0.38291242718696594, Validation Accuracy: 86.82%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T12-45-42-505955_fc_20/ckpts.
Step 140, Loss: 0.3849713206291199, Accuracy: 85.47%, Test Loss: 0.3969249129295349, Validation Accuracy: 85.02%
Step 160, Loss: 0.37544506788253784, Accuracy: 87.66%, Test Loss: 0.5393533110618591, Validation Accuracy: 76.41%
Step 180, Loss: 0.2347518503665924, Accuracy: 92.19%, Test Loss: 0.366390198469162, Validation Accuracy: 85.65%
