TFRecords files already exist. Proceed with the execution
Preparing dataset hapt...
rnn input shape:  (None, 250, 6)
rnn output shape: (None, 12)
All relevant data from this run is stored in /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T22-05-22-545480_fc_3
Tensorboard output will be stored in: /Users/Pankai/PycharmProjects/dl-lab-21w-team20/human_activity_recognition/logs/20220201-220523
Training will be from scratch since no valid checkpoint was specified.
All checkpoints will be stored in: /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T22-05-22-545480_fc_3/ckpts

======== Starting Training ========
Step 20, Loss: 1.5204254388809204, Accuracy: 54.38%, Test Loss: 0.8345028162002563, Validation Accuracy: 72.37%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T22-05-22-545480_fc_3/ckpts.
Step 40, Loss: 1.0264031887054443, Accuracy: 68.59%, Test Loss: 0.7118044495582581, Validation Accuracy: 77.79%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T22-05-22-545480_fc_3/ckpts.
Step 60, Loss: 0.5499507188796997, Accuracy: 84.06%, Test Loss: 0.9535729885101318, Validation Accuracy: 72.58%
Step 80, Loss: 0.5629130601882935, Accuracy: 84.22%, Test Loss: 0.3450686037540436, Validation Accuracy: 89.69%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T22-05-22-545480_fc_3/ckpts.
Step 100, Loss: 0.5207844376564026, Accuracy: 84.06%, Test Loss: 0.45761775970458984, Validation Accuracy: 85.02%
Step 120, Loss: 0.4451271891593933, Accuracy: 85.78%, Test Loss: 0.87939453125, Validation Accuracy: 74.07%
Step 140, Loss: 0.3888300657272339, Accuracy: 86.41%, Test Loss: 0.3980506360530853, Validation Accuracy: 85.76%
Step 160, Loss: 0.32541903853416443, Accuracy: 90.31%, Test Loss: 0.5005602836608887, Validation Accuracy: 82.25%
Step 180, Loss: 0.43786850571632385, Accuracy: 86.56%, Test Loss: 0.32942238450050354, Validation Accuracy: 85.02%
