TFRecords files already exist. Proceed with the execution
Preparing dataset hapt...
All relevant data from this run is stored in /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T23-53-07-303305_tcn
Tensorboard output will be stored in: /Users/Pankai/PycharmProjects/dl-lab-21w-team20/human_activity_recognition/logs/20220201-235308
Training will be from scratch since no valid checkpoint was specified.
All checkpoints will be stored in: /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T23-53-07-303305_tcn/ckpts

======== Starting Training ========
Step 20, Loss: 2.242011308670044, Accuracy: 31.56%, Test Loss: 1.5053527355194092, Validation Accuracy: 56.54%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T23-53-07-303305_tcn/ckpts.
Step 40, Loss: 1.2397797107696533, Accuracy: 61.56%, Test Loss: 0.8785929083824158, Validation Accuracy: 71.63%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T23-53-07-303305_tcn/ckpts.
Step 60, Loss: 0.8950978517532349, Accuracy: 72.03%, Test Loss: 0.9948292374610901, Validation Accuracy: 70.99%
Step 80, Loss: 0.8220880627632141, Accuracy: 75.47%, Test Loss: 0.5484594702720642, Validation Accuracy: 82.15%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T23-53-07-303305_tcn/ckpts.
Step 100, Loss: 0.7675957679748535, Accuracy: 76.41%, Test Loss: 0.42202648520469666, Validation Accuracy: 86.72%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T23-53-07-303305_tcn/ckpts.
Step 120, Loss: 0.6662768721580505, Accuracy: 80.00%, Test Loss: 0.5632883906364441, Validation Accuracy: 79.81%
Step 140, Loss: 0.6258924603462219, Accuracy: 80.16%, Test Loss: 0.689612627029419, Validation Accuracy: 82.78%
Step 160, Loss: 0.4488855302333832, Accuracy: 84.53%, Test Loss: 0.4643315374851227, Validation Accuracy: 82.36%
Step 180, Loss: 0.404235303401947, Accuracy: 87.19%, Test Loss: 0.49029555916786194, Validation Accuracy: 85.65%
Step 200, Loss: 0.4076160490512848, Accuracy: 88.75%, Test Loss: 0.48332127928733826, Validation Accuracy: 87.25%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T23-53-07-303305_tcn/ckpts.
Step 220, Loss: 0.4328911304473877, Accuracy: 89.38%, Test Loss: 0.4894917905330658, Validation Accuracy: 87.14%
Step 240, Loss: 0.3922233283519745, Accuracy: 88.83%, Test Loss: 0.31941261887550354, Validation Accuracy: 88.20%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T23-53-07-303305_tcn/ckpts.
Step 260, Loss: 0.3289741575717926, Accuracy: 90.00%, Test Loss: 0.3778110146522522, Validation Accuracy: 88.63%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T23-53-07-303305_tcn/ckpts.
Step 280, Loss: 0.28513121604919434, Accuracy: 91.56%, Test Loss: 0.3969177305698395, Validation Accuracy: 88.10%
Step 300, Loss: 0.27969688177108765, Accuracy: 90.47%, Test Loss: 0.42196857929229736, Validation Accuracy: 87.99%
Step 320, Loss: 0.2637491226196289, Accuracy: 91.09%, Test Loss: 0.5813254117965698, Validation Accuracy: 89.16%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T23-53-07-303305_tcn/ckpts.
Step 340, Loss: 0.3407652974128723, Accuracy: 89.38%, Test Loss: 0.40687263011932373, Validation Accuracy: 87.14%
Step 360, Loss: 0.2744669020175934, Accuracy: 91.25%, Test Loss: 0.35029467940330505, Validation Accuracy: 87.99%
Step 380, Loss: 0.2345696985721588, Accuracy: 91.56%, Test Loss: 0.36786702275276184, Validation Accuracy: 86.40%
Step 400, Loss: 0.2486913651227951, Accuracy: 91.72%, Test Loss: 0.2835022211074829, Validation Accuracy: 89.27%
Saving better val_acc checkpoint to /Users/Pankai/PycharmProjects/dl-lab-21w-team20/runs/run_2022-02-01T23-53-07-303305_tcn/ckpts.
Step 420, Loss: 0.3202504515647888, Accuracy: 90.31%, Test Loss: 0.31427332758903503, Validation Accuracy: 87.25%
Step 440, Loss: 0.22439542412757874, Accuracy: 93.91%, Test Loss: 0.31750592589378357, Validation Accuracy: 86.61%
Step 460, Loss: 0.1664632260799408, Accuracy: 93.85%, Test Loss: 0.4217233657836914, Validation Accuracy: 86.40%
